Student ID,Given Name,Family Name,Email
68873841,Duane,McLaughlin,duane_mclaughlin@encs.concordia.ca
23986786,Celia,McBride,celia_mcbride@encs.concordia.ca
78679482,Jennie,Sanchez,jennie_sanchez@encs.concordia.ca
27430903,Effie,Guzman,effie_guzman@encs.concordia.ca
24621215,Emily,Ballard,emily_ballard@encs.concordia.ca
54371636,Thomas,Warren,thomas_warren@encs.concordia.ca
15611569,Victor,Schneider,victor_schneider@encs.concordia.ca
24503406,Alvin,Sharp,alvin_sharp@encs.concordia.ca
34520129,Gary,Guzman,gary_guzman@encs.concordia.ca
78042522,Leona,Pierce,leona_pierce@encs.concordia.ca
27572097,Mattie,Nelson,mattie_nelson@encs.concordia.ca
95739952,Sam,Freeman,sam_freeman@encs.concordia.ca
91291680,Jeremy,Paul,jeremy_paul@encs.concordia.ca
33844984,Dustin,Alvarez,dustin_alvarez@encs.concordia.ca
87223465,Lily,Hayes,lily_hayes@encs.concordia.ca
11163036,Lucile,Williamson,lucile_williamson@encs.concordia.ca
98552867,Arthur,Price,arthur_price@encs.concordia.ca
75570789,Evan,Blair,evan_blair@encs.concordia.ca
13869929,Evan,Herrera,evan_herrera@encs.concordia.ca
48806759,Jerry,Buchanan,jerry_buchanan@encs.concordia.ca
50282521,Amanda,Santiago,amanda_santiago@encs.concordia.ca
86224106,Chester,Terry,chester_terry@encs.concordia.ca
97802210,Dustin,Barber,dustin_barber@encs.concordia.ca
93677999,Allen,Joseph,allen_joseph@encs.concordia.ca
57592017,Bess,Hoffman,bess_hoffman@encs.concordia.ca
48764810,Agnes,Garner,agnes_garner@encs.concordia.ca
89654421,Mark,Simon,mark_simon@encs.concordia.ca
60289084,Justin,Obrien,justin_obrien@encs.concordia.ca
70010145,Sophia,Wells,sophia_wells@encs.concordia.ca
61087399,Callie,Hanson,callie_hanson@encs.concordia.ca
10151035,Jennie,Atkins,jennie_atkins@encs.concordia.ca
51393881,Katie,Cruz,katie_cruz@encs.concordia.ca
34042412,Nina,Garner,nina_garner@encs.concordia.ca
78319623,Richard,Bryant,richard_bryant@encs.concordia.ca
92063401,Essie,Todd,essie_todd@encs.concordia.ca
62555186,Calvin,Gregory,calvin_gregory@encs.concordia.ca
23623314,Eunice,Meyer,eunice_meyer@encs.concordia.ca
57227031,Christian,Potter,christian_potter@encs.concordia.ca
78772284,Maria,Scott,maria_scott@encs.concordia.ca
52835747,Ricky,Maldonado,ricky_maldonado@encs.concordia.ca
16614319,Leroy,Evans,leroy_evans@encs.concordia.ca
83533892,Isabella,Jones,isabella_jones@encs.concordia.ca
36925199,Eva,Perez,eva_perez@encs.concordia.ca
24646721,Nina,Hale,nina_hale@encs.concordia.ca
90161667,Elizabeth,Santos,elizabeth_santos@encs.concordia.ca
59223874,Gussie,Torres,gussie_torres@encs.concordia.ca
47365611,Dollie,Hubbard,dollie_hubbard@encs.concordia.ca
49153434,Etta,Ruiz,etta_ruiz@encs.concordia.ca
55005099,Jeanette,Simmons,jeanette_simmons@encs.concordia.ca
89687720,Christian,Alvarez,christian_alvarez@encs.concordia.ca
97894763,Ernest,Brock,ernest_brock@encs.concordia.ca
20528458,Genevieve,Chambers,genevieve_chambers@encs.concordia.ca
30915333,Dora,Wallace,dora_wallace@encs.concordia.ca
66611746,Marian,Nelson,marian_nelson@encs.concordia.ca
10743147,Laura,Green,laura_green@encs.concordia.ca
15405996,Kathryn,Martinez,kathryn_martinez@encs.concordia.ca
29938602,Verna,Greer,verna_greer@encs.concordia.ca
73544005,Brandon,Graham,brandon_graham@encs.concordia.ca
55787776,Mildred,Baldwin,mildred_baldwin@encs.concordia.ca
70300599,Birdie,Carpenter,birdie_carpenter@encs.concordia.ca
47417808,Evelyn,Evans,evelyn_evans@encs.concordia.ca
73341707,Barry,Williams,barry_williams@encs.concordia.ca
54838164,Rebecca,Glover,rebecca_glover@encs.concordia.ca
47325245,Garrett,Norris,garrett_norris@encs.concordia.ca
57251483,Sue,Sanchez,sue_sanchez@encs.concordia.ca
16994710,Nathaniel,Lane,nathaniel_lane@encs.concordia.ca
48246898,Louisa,Simmons,louisa_simmons@encs.concordia.ca
18053660,Charlie,Fleming,charlie_fleming@encs.concordia.ca
91940977,Tillie,Griffin,tillie_griffin@encs.concordia.ca
25979384,Angel,Townsend,angel_townsend@encs.concordia.ca
65718343,Lizzie,Hale,lizzie_hale@encs.concordia.ca
26231073,Logan,Boone,logan_boone@encs.concordia.ca
48102906,Cynthia,Kelly,cynthia_kelly@encs.concordia.ca
